"county","precinct","office","district","party","candidate","votes","year","votes_cast","percent_of_vote","net_change"
"Salt Lake","SLC167","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",215,2018,736,0.292119565217391,-0.0840644672589281
"Salt Lake","SLC167","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",6,2018,736,0.00815217391304348,0.00815217391304348
"Utah","SP17","US House",4,"DEM","Ben McAdams",67,2018,189,0.354497354497354,0.150036387954604
"Utah","SP17","US House",4,"WRI","Jonathan Peterson",0,2018,189,0,
"Utah","SP17","US House",4,"REP","Mia Love",122,2018,189,0.645502645502645,-0.0645345292185441
"Utah","SQ01","US House",4,"DEM","Ben McAdams",182,2018,791,0.230088495575221,0.0519027504348325
"Utah","SQ01","US House",4,"WRI","Jonathan Peterson",1,2018,791,0.00126422250316056,
"Utah","SQ01","US House",4,"REP","Mia Love",608,2018,791,0.768647281921618,0.0170274115112511
"Utah","SQ01:UN","US House",4,"DEM","Ben McAdams",19,2018,102,0.186274509803922,
"Utah","SQ01:UN","US House",4,"WRI","Jonathan Peterson",0,2018,102,0,
"Utah","SQ01:UN","US House",4,"REP","Mia Love",83,2018,102,0.813725490196078,
"Utah","SQ02","US House",4,"DEM","Ben McAdams",292,2018,1229,0.237591537835639,0.0341872825164898
"Utah","SQ02","US House",4,"WRI","Jonathan Peterson",0,2018,1229,0,
"Utah","SQ02","US House",4,"REP","Mia Love",937,2018,1229,0.762408462164361,0.0407063345047869
"Utah","SQ02:UN","US House",4,"DEM","Ben McAdams",2,2018,7,0.285714285714286,
"Utah","SQ02:UN","US House",4,"WRI","Jonathan Peterson",0,2018,7,0,
"Utah","SQ02:UN","US House",4,"REP","Mia Love",5,2018,7,0.714285714285714,
"Utah","SR01","US House",4,"DEM","Ben McAdams",199,2018,969,0.205366357069143,0.0576740493768357
"Utah","SR01","US House",4,"WRI","Jonathan Peterson",0,2018,969,0,
"Utah","SR01","US House",4,"REP","Mia Love",770,2018,969,0.794633642930857,-0.0258791775819639
"Utah","SR02","US House",4,"DEM","Ben McAdams",232,2018,745,0.311409395973154,0.092299017060469
"Utah","SR02","US House",4,"WRI","Jonathan Peterson",4,2018,745,0.00536912751677852,
"Utah","SR02","US House",4,"REP","Mia Love",509,2018,745,0.683221476510067,-0.0515396437535243
"Utah","SR02:UN","US House",4,"DEM","Ben McAdams",3,2018,6,0.5,
"Utah","SR02:UN","US House",4,"WRI","Jonathan Peterson",0,2018,6,0,
"Utah","SR02:UN","US House",4,"REP","Mia Love",3,2018,6,0.5,
"Utah","SR03","US House",4,"DEM","Ben McAdams",176,2018,914,0.192560175054705,0.0372297360773771
"Utah","SR03","US House",4,"WRI","Jonathan Peterson",2,2018,914,0.00218818380743982,
"Utah","SR03","US House",4,"REP","Mia Love",736,2018,914,0.805251641137856,0.00592699087253967
"Utah","SR03:UN","US House",4,"DEM","Ben McAdams",8,2018,39,0.205128205128205,
"Utah","SR03:UN","US House",4,"WRI","Jonathan Peterson",0,2018,39,0,
"Utah","SR03:UN","US House",4,"REP","Mia Love",31,2018,39,0.794871794871795,
"Utah","SR04","US House",4,"DEM","Ben McAdams",193,2018,586,0.329351535836177,0.122594779079421
"Utah","SR04","US House",4,"WRI","Jonathan Peterson",2,2018,586,0.00341296928327645,
"Utah","SR04","US House",4,"REP","Mia Love",391,2018,586,0.667235494880546,-0.0719536943086431
"Utah","SR05","US House",4,"DEM","Ben McAdams",205,2018,778,0.263496143958869,0.0839839488369177
"Utah","SR05","US House",4,"WRI","Jonathan Peterson",0,2018,778,0,
"Utah","SR05","US House",4,"REP","Mia Love",573,2018,778,0.736503856041131,-0.0449595585930153
"Utah","SR06","US House",4,"DEM","Ben McAdams",293,2018,1032,0.283914728682171,0.104518636319826
"Utah","SR06","US House",4,"WRI","Jonathan Peterson",1,2018,1032,0.000968992248062015,
"Utah","SR06","US House",4,"REP","Mia Love",738,2018,1032,0.715116279069767,-0.061082655210872
"Utah","SR07","US House",4,"DEM","Ben McAdams",213,2018,882,0.241496598639456,0.0352535663094669
"Utah","SR07","US House",4,"WRI","Jonathan Peterson",0,2018,882,0,
"Utah","SR07","US House",4,"REP","Mia Love",669,2018,882,0.758503401360544,0.0126840033672332
"Utah","SR08","US House",4,"DEM","Ben McAdams",166,2018,672,0.24702380952381,0.0509695555164112
"Utah","SR08","US House",4,"WRI","Jonathan Peterson",0,2018,672,0,
"Utah","SR08","US House",4,"REP","Mia Love",506,2018,672,0.75297619047619,0.018080999354119
"Utah","SR08:UN","US House",4,"DEM","Ben McAdams",0,2018,0,,
"Utah","SR08:UN","US House",4,"WRI","Jonathan Peterson",0,2018,0,,
"Utah","SR08:UN","US House",4,"REP","Mia Love",0,2018,0,,
"Utah","SR09","US House",4,"DEM","Ben McAdams",203,2018,947,0.214361140443506,
"Utah","SR09","US House",4,"WRI","Jonathan Peterson",0,2018,947,0,
"Utah","SR09","US House",4,"REP","Mia Love",744,2018,947,0.785638859556494,
"Utah","SR10","US House",4,"DEM","Ben McAdams",261,2018,949,0.275026343519494,
"Utah","SR10","US House",4,"WRI","Jonathan Peterson",0,2018,949,0,
"Utah","SR10","US House",4,"REP","Mia Love",688,2018,949,0.724973656480506,
"Salt Lake","SSL001","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",146,2018,191,0.764397905759162,0.129667366837007
"Salt Lake","SSL001","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,191,0,
"Salt Lake","SSL001","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",44,2018,191,0.230366492146597,-0.0810107533623852
"Salt Lake","SSL001","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,191,0.00523560209424084,0.00523560209424084
"Salt Lake","SSL002","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",289,2018,361,0.800554016620499,0.134919341697898
"Salt Lake","SSL002","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,361,0,
"Salt Lake","SSL002","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",71,2018,361,0.196675900277008,-0.0695779696920319
"Salt Lake","SSL002","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,361,0.00277008310249307,0.00277008310249307
"Salt Lake","SSL003","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",30,2018,47,0.638297872340426,-0.0224164133738601
"Salt Lake","SSL003","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,47,0,
"Salt Lake","SSL003","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",17,2018,47,0.361702127659574,0.111702127659574
"Salt Lake","SSL003","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,47,0,0
"Salt Lake","SSL004","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",412,2018,503,0.819085487077535,0.105670852931193
"Salt Lake","SSL004","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,503,0,
"Salt Lake","SSL004","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",87,2018,503,0.172962226640159,-0.0648426514086214
"Salt Lake","SSL004","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",4,2018,503,0.00795228628230616,0.00795228628230616
"Salt Lake","SSL005","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",407,2018,529,0.76937618147448,0.0755435823555375
"Salt Lake","SSL005","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,529,0,
"Salt Lake","SSL005","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",121,2018,529,0.228733459357278,-0.0377863644312684
"Salt Lake","SSL005","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,529,0.00189035916824197,0.00189035916824197
"Salt Lake","SSL006","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",586,2018,732,0.800546448087432,0.0942211468826124
"Salt Lake","SSL006","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,732,0,
"Salt Lake","SSL006","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",140,2018,732,0.191256830601093,-0.0512130489169794
"Salt Lake","SSL006","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",6,2018,732,0.00819672131147541,0.00819672131147541
"Salt Lake","SSL007","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",629,2018,816,0.770833333333333,0.077839702760085
"Salt Lake","SSL007","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,816,0,
"Salt Lake","SSL007","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",181,2018,816,0.221813725490196,-0.0520716248282753
"Salt Lake","SSL007","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",6,2018,816,0.00735294117647059,0.00735294117647059
"Salt Lake","SSL008","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",353,2018,449,0.78619153674833,0.0820350575307257
"Salt Lake","SSL008","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,449,0,
"Salt Lake","SSL008","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",94,2018,449,0.209354120267261,-0.037589645013913
"Salt Lake","SSL008","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",2,2018,449,0.0044543429844098,0.0044543429844098
"Salt Lake","SSL009","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",269,2018,348,0.772988505747126,0.0798850574712643
"Salt Lake","SSL009","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,348,0,
"Salt Lake","SSL009","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",77,2018,348,0.221264367816092,-0.0201149425287356
"Salt Lake","SSL009","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",2,2018,348,0.00574712643678161,0.00574712643678161
"Salt Lake","SSL010","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",353,2018,488,0.723360655737705,0.0489420510865421
"Salt Lake","SSL010","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,488,0,
"Salt Lake","SSL010","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",133,2018,488,0.272540983606557,-0.00911276316346848
"Salt Lake","SSL010","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",2,2018,488,0.00409836065573771,0.00409836065573771
"Salt Lake","SSL011","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",399,2018,565,0.706194690265487,0.0799904513444848
"Salt Lake","SSL011","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,565,0,
"Salt Lake","SSL011","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",165,2018,565,0.292035398230089,-0.0278104591880233
"Salt Lake","SSL011","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,565,0.00176991150442478,0.00176991150442478
"Salt Lake","SSL012","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",179,2018,242,0.739669421487603,0.131977113795296
"Salt Lake","SSL012","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,242,0,
"Salt Lake","SSL012","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",63,2018,242,0.260330578512397,-0.070438652256834
"Salt Lake","SSL012","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,242,0,0
"Salt Lake","SSL014","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",741,2018,993,0.746223564954683,0.086202578595816
"Salt Lake","SSL014","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,993,0,
"Salt Lake","SSL014","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",247,2018,993,0.248741188318228,-0.0492651075894324
"Salt Lake","SSL014","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",5,2018,993,0.00503524672708963,0.00503524672708963
"Salt Lake","SWT001","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",172,2018,419,0.410501193317422,0.0771678599840891
"Salt Lake","SWT001","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,419,0,
"Salt Lake","SWT001","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",246,2018,419,0.587112171837709,-0.0399274552019182
"Salt Lake","SWT001","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,419,0.00238663484486874,0.00238663484486874
"Salt Lake","SWT002","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",0,2018,1,0,-0.176470588235294
"Salt Lake","SWT002","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,1,0,
"Salt Lake","SWT002","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",1,2018,1,1,0.176470588235294
"Salt Lake","SWT002","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,1,0,0
"Salt Lake","TAY001","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",535,2018,832,0.643028846153846,0.0882190027533987
"Salt Lake","TAY001","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,832,0,
"Salt Lake","TAY001","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",292,2018,832,0.350961538461538,-0.0371816382722423
"Salt Lake","TAY001","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",5,2018,832,0.00600961538461538,0.00600961538461538
