"county","precinct","year","State House DEM","State Senate DEM","US House DEM"
"Salt Lake","MIL029",2018,397,427,425
"Salt Lake","MIL030",2018,264,289,299
"Salt Lake","MIL031",2018,388,388,406
"Salt Lake","MIL032",2018,566,578,581
"Salt Lake","MIL033",2018,426,428,447
"Salt Lake","MIL034",2018,323,342,350
"Salt Lake","MIL035",2018,569,559,565
"Salt Lake","MIL036",2018,362,378,361
"Salt Lake","MIL037",2018,307,311,332
"Salt Lake","MIL038",2018,504,516,505
"Salt Lake","MIL039",2018,471,472,473
"Salt Lake","MIL040",2018,423,424,419
"Salt Lake","MIL041",2018,287,277,283
"Salt Lake","MIL042",2018,367,363,357
"Salt Lake","MIL043",2018,547,551,548
"Salt Lake","MIL045",2018,381,381,376
"Salt Lake","MOL001",2016,488,,452
"Salt Lake","MOL002",2016,558,,438
"Salt Lake","MOL003",2016,470,,387
"Salt Lake","MOL004",2016,318,,257
"Salt Lake","MOL005",2016,401,,336
"Salt Lake","MOL006",2016,625,,561
"Salt Lake","MOL008",2016,397,,358
"Salt Lake","MUR001",2016,12,,9
"Salt Lake","MUR001",2018,7,6,7
"Salt Lake","MUR002",2016,397,,422
"Salt Lake","MUR002",2018,436,488,523
"Salt Lake","MUR003",2016,110,,114
"Salt Lake","MUR003",2018,100,112,121
"Salt Lake","MUR004",2016,282,178,275
"Salt Lake","MUR004",2018,260,256,289
"Salt Lake","MUR005",2016,294,278,307
"Salt Lake","MUR005",2018,297,321,370
"Salt Lake","MUR006",2016,1,,1
"Salt Lake","MUR006",2018,0,0,1
"Salt Lake","MUR007",2016,232,,252
"Salt Lake","MUR007",2018,216,241,271
"Salt Lake","MUR008",2016,405,,434
"Salt Lake","MUR008",2018,430,477,527
"Salt Lake","MUR009",2016,180,139,162
"Salt Lake","MUR009",2018,188,165,204
"Salt Lake","MUR010",2016,21,,23
"Salt Lake","MUR010",2018,24,20,29
"Salt Lake","MUR011",2016,352,254,330
"Salt Lake","MUR011",2018,353,322,380
"Salt Lake","MUR012",2016,354,292,355
"Salt Lake","MUR012",2018,404,379,432
"Salt Lake","MUR013",2016,68,51,62
"Salt Lake","MUR013",2018,73,70,78
"Salt Lake","MUR014",2016,297,,278
"Salt Lake","MUR014",2018,264,264,296
"Salt Lake","MUR015",2016,165,,169
"Salt Lake","MUR015",2018,204,191,206
