"county","precinct","year","max_votes","State House CON","State House DEM","State House LIB","State House REP","State Senate DEM","State Senate LIB","State Senate REP","US House CON","US House DEM","US House REP"
"Salt Lake","MUR014",2018,473,,0.570194384449244,,0.429805615550756,0.58021978021978,,0.41978021978022,,0.625792811839323,0.372093023255814
"Salt Lake","MUR015",2016,324,,0.528846153846154,,0.471153846153846,,,,0.0277777777777778,0.521604938271605,0.450617283950617
"Salt Lake","MUR015",2018,343,,0.620060790273556,,0.379939209726444,0.584097859327217,,0.415902140672783,,0.600583090379009,0.399416909620991
"Salt Lake","MUR016",2016,457,,0.286681715575621,,0.713318284424379,,,,0.0328227571115974,0.37855579868709,0.588621444201313
"Salt Lake","MUR016",2018,458,,0.340909090909091,,0.659090909090909,0.393592677345538,,0.606407322654462,,0.443231441048035,0.550218340611354
"Salt Lake","MUR017",2016,283,,0.606498194945848,,0.393501805054152,,,,0.0282685512367491,0.568904593639576,0.402826855123675
"Salt Lake","MUR017",2018,262,,0.67175572519084,,0.32824427480916,0.67843137254902,,0.32156862745098,,0.713740458015267,0.282442748091603
"Salt Lake","MUR018",2016,735,,0.408901251738526,,0.591098748261474,,,,0.0285714285714286,0.500680272108844,0.470748299319728
"Salt Lake","MUR018",2018,718,,0.46958981612447,,0.53041018387553,0.527616279069767,,0.472383720930233,,0.534818941504178,0.46100278551532
"Salt Lake","MUR019",2016,331,,0.551282051282051,,0.448717948717949,,,,0.0664652567975831,0.507552870090634,0.425981873111782
"Salt Lake","MUR019",2018,344,,0.563636363636364,,0.436363636363636,0.537037037037037,,0.462962962962963,,0.590116279069767,0.40406976744186
"Salt Lake","MUR020",2016,651,,0.366929133858268,,0.633070866141732,,,,0.0491551459293395,0.465437788018433,0.485407066052227
"Salt Lake","MUR020",2018,620,,0.43739837398374,,0.56260162601626,0.513333333333333,,0.486666666666667,,0.524193548387097,0.467741935483871
"Salt Lake","MUR021",2016,631,,0.563218390804598,,0.436781609195402,,,,0.0491283676703645,0.527733755942948,0.423137876386688
"Salt Lake","MUR021",2018,652,,0.602465331278891,,0.397534668721109,0.592823712948518,,0.407176287051482,,0.636503067484663,0.357361963190184
"Salt Lake","MUR022",2016,70,,0.492753623188406,,0.507246376811594,0.446153846153846,,0.553846153846154,0.0142857142857143,0.485714285714286,0.5
"Salt Lake","MUR022",2018,67,,0.587301587301587,,0.412698412698413,0.484375,,0.484375,,0.597014925373134,0.402985074626866
"Salt Lake","MUR023",2016,549,,0.575187969924812,,0.424812030075188,0.488593155893536,,0.511406844106464,0.0692167577413479,0.599271402550091,0.331511839708561
"Salt Lake","MUR023",2018,574,,0.6113074204947,,0.3886925795053,0.575757575757576,,0.392156862745098,,0.698606271777004,0.297909407665505
"Salt Lake","MUR024",2016,516,,0.546370967741935,,0.453629032258065,0.405295315682281,,0.594704684317719,0.0523255813953488,0.51937984496124,0.428294573643411
"Salt Lake","MUR024",2018,476,,0.600422832980973,,0.399577167019027,0.521367521367521,,0.427350427350427,,0.626050420168067,0.367647058823529
"Salt Lake","MUR025",2016,581,,0.663003663003663,,0.336996336996337,0.503663003663004,,0.496336996336996,0.0327022375215146,0.609294320137694,0.358003442340792
"Salt Lake","MUR025",2018,556,,0.695327102803738,,0.304672897196262,0.619136960600375,,0.354596622889306,,0.688848920863309,0.305755395683453
"Salt Lake","MUR027",2016,907,,0.614678899082569,,0.385321100917431,,,,0.0385887541345094,0.563395810363837,0.398015435501654
"Salt Lake","MUR027",2018,890,,0.697488584474886,,0.302511415525114,0.672727272727273,,0.327272727272727,,0.687640449438202,0.312359550561798
"Salt Lake","MUR028",2016,236,,0.60352422907489,,0.39647577092511,0.484304932735426,,0.515695067264574,0.0466101694915254,0.614406779661017,0.338983050847458
"Salt Lake","MUR029",2016,840,,0.542079207920792,,0.457920792079208,0.313823163138232,,0.686176836861768,0.0297619047619048,0.45952380952381,0.510714285714286
"Salt Lake","MUR029",2018,819,,0.537128712871287,,0.462871287128713,0.455112219451372,,0.529925187032419,,0.540903540903541,0.455433455433455
"Salt Lake","MUR030",2016,281,,0.58955223880597,,0.41044776119403,0.516605166051661,,0.483394833948339,0.0498220640569395,0.519572953736655,0.430604982206406
"Salt Lake","MUR030",2018,573,,0.649819494584838,,0.350180505415162,0.59963436928702,,0.36563071297989,,0.691099476439791,0.305410122164049
"Salt Lake","MUR031",2016,670,,0.623255813953488,,0.376744186046512,0.510077519379845,,0.489922480620155,0.0313432835820895,0.570149253731343,0.398507462686567
"Salt Lake","MUR031",2018,641,,0.595576619273302,,0.404423380726698,0.550632911392405,,0.424050632911392,,0.625585023400936,0.374414976599064
