slco_precinct,Registered Voters,ben_Vote Center,ben_VBM,ben_Early Voting,ben_Total Votes,mia_Vote Center,mia_VBM,mia_Early Voting,mia_Total Votes,write_Vote Center,write_VBM,write_Early Voting,write__Total Votes,jon_Vote Center,jon_VBM,jon_Early Voting,jon_Total Votes,jon_Total
HOL033,592,16,286,10,312,14,178,3,195,0,1,0,1,0,0,0,0,508
HOL034,622,23,337,6,366,13,171,2,186,0,2,0,2,0,0,0,0,554
HOL035,609,23,336,11,370,15,147,1,163,0,3,0,3,0,0,0,0,536
KRN001,749,46,275,5,326,19,185,1,205,0,5,0,5,0,0,0,0,536
KRN002,200,11,60,1,72,4,48,1,53,0,0,0,0,0,0,0,0,125
KRN003,446,22,204,2,228,8,80,0,88,0,1,0,1,0,0,0,0,317
KRN004,875,43,331,7,381,29,216,4,249,0,10,0,10,0,0,0,0,640
KRN005,837,48,325,5,378,18,146,4,168,0,5,0,5,0,1,0,1,552
KRN006,861,54,374,5,433,33,154,1,188,0,3,0,3,0,0,0,0,624
KRN008,397,24,159,1,184,9,79,5,93,0,0,0,0,0,0,0,0,277
KRN009,127,11,56,1,68,4,21,0,25,0,1,0,1,0,0,0,0,94
KRN013,858,55,327,6,388,22,193,0,215,0,5,0,5,0,0,0,0,608
KRN015,763,37,310,5,352,16,175,4,195,2,3,0,5,0,0,0,0,552
KRN016,738,56,290,2,348,16,134,5,155,0,3,0,3,0,0,0,0,506
KRN017,831,40,374,7,421,22,164,0,186,0,5,0,5,0,0,0,0,612
KRN018,703,28,265,6,299,24,179,2,205,0,0,0,0,0,0,0,0,504
KRN019,893,38,316,7,361,31,217,1,249,1,8,0,9,0,0,0,0,619
KRN020,302,16,123,1,140,4,64,0,68,0,1,0,1,0,0,0,0,209
KRN021,301,16,125,1,142,12,67,1,80,0,3,0,3,0,0,0,0,225
MID001,1162,100,464,25,589,49,235,3,287,1,1,0,2,0,0,0,0,878
MID002,721,57,334,8,399,20,157,7,184,1,2,0,3,0,0,0,0,586
MID003,973,102,401,13,516,43,200,5,248,1,5,0,6,0,1,0,1,771
MID005,748,36,311,10,357,7,262,4,273,1,5,0,6,0,0,0,0,636
MID006,781,27,347,6,380,19,222,3,244,0,3,0,3,0,0,0,0,627
MID011,996,54,429,9,492,25,270,4,299,0,6,0,6,0,0,0,0,797
MID013,448,28,210,1,239,8,133,1,142,0,1,0,1,0,0,0,0,382
MID017,671,54,274,5,333,26,125,3,154,1,4,0,5,0,0,0,0,492
MID019,533,35,235,9,279,24,128,0,152,0,4,0,4,0,0,0,0,435
MID022,1038,70,436,10,516,31,275,3,309,0,1,0,1,0,0,0,0,826
MID024,916,58,383,9,450,24,228,1,253,1,4,0,5,0,1,0,1,709
MID025,374,40,152,9,201,14,54,1,69,0,1,0,1,0,0,0,0,271
MID027,357,24,172,3,199,16,96,0,112,0,1,0,1,0,0,0,0,312
MID028,526,30,269,5,304,12,106,1,119,1,2,0,3,0,0,0,0,426
MID030,381,19,148,7,174,8,117,0,125,0,6,0,6,0,0,0,0,305
MID032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIL001,889,64,497,13,574,16,153,4,173,0,1,0,1,0,1,0,1,749
MIL002,941,58,502,24,584,16,197,3,216,0,4,0,4,0,0,0,0,804
MIL003,786,49,399,22,470,18,147,2,167,0,4,0,4,0,1,0,1,642
MIL004,998,42,542,19,603,17,225,6,248,0,2,0,2,0,1,0,1,854
MIL005,437,39,253,13,305,10,76,3,89,0,1,0,1,0,0,0,0,395
MIL006,694,28,365,15,408,14,159,4,177,1,0,0,1,0,0,0,0,586
MIL007,267,24,96,7,127,7,24,3,34,0,1,0,1,0,0,0,0,162
MIL008,263,39,95,16,150,11,28,3,42,0,1,0,1,0,0,0,0,193
MIL009,862,78,346,26,450,32,106,5,143,1,3,0,4,0,0,0,0,597
MIL010,541,39,225,8,272,16,118,3,137,0,3,0,3,0,0,0,0,412
MIL011,1007,57,531,30,618,17,199,1,217,0,1,0,1,0,0,0,0,836
MIL012,781,43,410,19,472,19,166,1,186,0,5,0,5,0,0,0,0,663
MIL013,726,45,370,10,425,16,135,2,153,0,2,0,2,0,0,0,0,580
MIL014,498,16,257,5,278,5,160,1,166,0,2,0,2,0,0,0,0,446
MIL015,911,50,511,18,579,16,159,7,182,0,9,0,9,0,0,0,0,770
MIL016,1023,43,413,13,469,36,333,3,372,0,1,0,1,0,0,0,0,842
MIL017,426,31,204,11,246,16,74,5,95,0,1,0,1,0,0,0,0,342
MIL018,1264,73,610,20,703,29,312,10,351,0,5,0,5,0,0,0,0,1059
MIL019,873,40,395,7,442,25,215,2,242,2,1,0,3,0,0,0,0,687
MIL020,662,39,409,8,456,13,100,6,119,0,1,0,1,0,0,0,0,576
MIL021,653,30,333,5,368,29,149,4,182,1,0,0,1,0,0,0,0,551
MIL022,826,30,425,11,466,19,225,2,246,0,1,1,2,0,0,0,0,714
MIL023,757,37,374,6,417,12,221,0,233,0,2,0,2,0,0,0,0,652
MIL024,724,38,423,8,469,24,156,2,182,0,2,0,2,0,0,0,0,653
MIL025,764,43,422,14,479,18,180,4,202,0,4,0,4,0,0,0,0,685
MIL026,728,46,421,4,471,9,136,1,146,0,2,0,2,0,0,0,0,619
MIL027,987,32,450,8,490,26,351,0,377,0,3,0,3,0,0,0,0,870
MIL028,750,17,313,4,334,15,310,2,327,0,1,0,1,0,0,0,0,662
MIL029,672,26,392,7,425,6,136,3,145,0,3,0,3,0,2,0,2,575
MIL030,577,31,264,4,299,7,201,5,213,0,0,0,0,0,0,0,0,512
MIL031,760,23,375,8,406,8,248,3,259,0,1,0,1,0,0,0,0,666
MIL032,946,25,539,17,581,19,241,0,260,0,0,0,0,0,0,0,0,841
MIL033,839,42,402,3,447,18,265,6,289,0,2,0,2,0,0,0,0,738
MIL034,791,27,318,5,350,23,307,2,332,1,1,0,2,0,0,0,0,684
MIL035,1004,38,523,4,565,26,286,0,312,0,2,0,2,0,0,0,0,879
MIL036,788,29,328,4,361,24,303,2,329,0,1,0,1,0,1,0,1,692
MIL037,620,24,304,4,332,10,194,1,205,0,2,0,2,0,0,0,0,539
MIL038,688,26,474,5,505,9,110,2,121,0,0,0,0,0,0,0,0,626
MIL039,778,23,443,7,473,17,208,0,225,0,1,0,1,0,0,0,0,699
MIL040,676,28,382,9,419,9,174,3,186,0,0,0,0,0,0,0,0,605
MIL041,490,11,262,10,283,11,152,2,165,0,0,0,0,0,0,0,0,448
MIL042,599,15,333,9,357,9,162,3,174,0,0,0,0,0,0,0,0,531
MIL043,854,33,506,9,548,15,194,4,213,0,0,0,0,0,0,0,0,761
MIL045,618,16,351,9,376,11,160,5,176,0,0,0,0,0,0,0,0,552
MUR001,18,2,5,0,7,2,3,0,5,0,0,0,0,0,0,0,0,12
MUR002,956,116,379,28,523,37,130,4,171,1,0,0,1,0,0,0,0,695
MUR003,257,13,104,4,121,4,76,0,80,0,1,0,1,0,0,0,0,202
MUR004,541,34,252,3,289,14,173,2,189,1,3,0,4,0,0,0,0,482
MUR005,683,47,312,11,370,25,132,3,160,2,4,0,6,0,0,0,0,536
MUR006,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MUR007,564,24,242,5,271,8,197,3,208,0,2,0,2,0,0,0,0,481
MUR008,1044,65,439,23,527,31,267,7,305,2,2,0,4,0,0,0,0,836
MUR009,351,24,177,3,204,8,79,2,89,0,2,0,2,0,0,0,0,295
MUR010,47,2,25,2,29,0,8,0,8,0,2,0,2,0,0,0,0,39
MUR011,673,26,342,12,380,15,175,3,193,0,2,0,2,0,0,0,0,575
MUR012,774,35,388,9,432,12,201,5,218,0,2,0,2,0,1,0,1,653
MUR013,141,10,66,2,78,3,36,1,40,0,1,0,1,0,0,0,0,119
MUR014,541,17,274,5,296,8,167,1,176,0,1,0,1,0,0,0,0,473
MUR015,418,18,181,7,206,16,117,4,137,0,0,0,0,0,0,0,0,343
