precinct,Registered Voters,Ballots Cast,Voter Turnout
SLC015,959,772,80.50 %
SLC017,341,257,75.37 %
SLC018,927,705,76.05 %
SLC019,1049,895,85.32 %
SLC020,1090,988,90.64 %
SLC021,646,570,88.24 %
SLC023,857,775,90.43 %
SLC025,951,885,93.06 %
SLC026,862,791,91.76 %
SLC027,711,649,91.28 %
SLC028,150,126,84.00 %
SLC029,695,629,90.50 %
SLC030,738,687,93.09 %
SLC031,629,581,92.37 %
SLC032,966,872,90.27 %
SLC033,778,680,87.40 %
SLC034,652,599,91.87 %
SLC035,952,853,89.60 %
SLC039,716,646,90.22 %
SLC040,511,463,90.61 %
SLC041,948,833,87.87 %
SLC042,628,585,93.15 %
SLC043,563,505,89.70 %
SLC045,1228,667,54.32 %
SLC048,1011,699,69.14 %
SLC049,780,529,67.82 %
SLC050,1155,853,73.85 %
SLC051,621,485,78.10 %
SLC052,1233,847,68.69 %
SLC054,1268,1072,84.54 %
SLC055,771,633,82.10 %
SLC057,1068,857,80.24 %
SLC059,1293,1094,84.61 %
SLC060,1118,942,84.26 %
SLC062,1051,879,83.63 %
SLC064,1341,1093,81.51 %
SLC065,860,762,88.60 %
SLC068,711,640,90.01 %
SLC069,203,181,89.16 %
SLC070,1085,970,89.40 %
SLC071,797,669,83.94 %
SLC072,1076,909,84.48 %
SLC073,23,22,95.65 %
SLC074,81,85,104.94 %
SLC076,816,729,89.34 %
SLC078,646,593,91.80 %
SLC080,1202,1026,85.36 %
SLC083,1006,736,73.16 %
SLC085,980,710,72.45 %
SLC086,894,630,70.47 %
SLC090,755,650,86.09 %
SLC091,575,423,73.57 %
SLC092,894,739,82.66 %
SLC093,818,699,85.45 %
SLC094,831,735,88.45 %
SLC097,1106,1001,90.51 %
SLC098,904,804,88.94 %
SLC099,647,568,87.79 %
SLC100,527,451,85.58 %
SLC101,621,575,92.59 %
SLC102,482,420,87.14 %
SLC103,938,874,93.18 %
SLC105,752,703,93.48 %
SLC106,288,264,91.67 %
SLC107,575,563,97.91 %
SLC108,708,659,93.08 %
SLC109,917,823,89.75 %
SLC110,838,744,88.78 %
SLC112,502,459,91.43 %
SLC114,1024,914,89.26 %
SLC115,785,662,84.33 %
SLC116,642,581,90.50 %
SLC117,655,581,88.70 %
SLC118,693,626,90.33 %
SLC119,815,774,94.97 %
SLC121,918,845,92.05 %
SLC123,702,631,89.89 %
SLC125,708,642,90.68 %
SLC128,930,815,87.63 %
SLC129,606,552,91.09 %
SLC130,772,690,89.38 %
SLC131,671,606,90.31 %
SLC132,916,778,84.93 %
SLC134,544,473,86.95 %
SLC135,661,571,86.38 %
SLC136,664,599,90.21 %
SLC137,715,642,89.79 %
SLC138,905,791,87.40 %
SLC140,639,568,88.89 %
SLC141,769,668,86.87 %
SLC142,713,646,90.60 %
SLC143,658,564,85.71 %
SLC144,674,615,91.25 %
SLC146,379,325,85.75 %
SLC147,909,794,87.35 %
SLC148,602,505,83.89 %
SLC149,927,821,88.57 %
SLC150,29,22,75.86 %
SLC151,949,827,87.14 %
SLC152,867,764,88.12 %
SLC155,866,762,87.99 %
SLC156,714,644,90.20 %
SLC158,567,526,92.77 %
SLC159,644,579,89.91 %
SLC160,940,851,90.53 %
SLC163,718,651,90.67 %
SLC164,660,612,92.73 %
SLC166,690,607,87.97 %
SLC167,862,745,86.43 %
SNB001,12,8,66.67 %
